artist,artist_followers,artist_genre,artist_hot,artist_id,duration,end_fade,key,key_con,loud,mode,mode_con,publish_date,start_fade,temp,time_sig,time_sig_con,track,track_id,track_pop
Frankie Ballard,210029.0,"canadian contemporary country,contemporary country,country,country road,modern country rock",0.64,0dvKgSdNB2U1gfp6ZcekYi,231.69333,0.0,6.0,0.777,-5.667,1.0,0.826,2014-04-30,221.82603,134.015,4.0,1.0,Helluva Life,4mnuiEDq1ADXUTYWJxLo4B,62.0
Hillsong UNITED,1769150.0,"ccm,christian alternative rock,christian music,rock cristiano,world worship,worship",0.74,74cb3MG0x0BOnYNW1uXYnM,536.0,5.95011,2.0,0.689,-10.191,1.0,0.713,2014-04-30,529.28145,126.86,4.0,0.823,Oceans (Where Feet May Fail),5Mw9bXG1dLNhbjofkVS2oR,66.0
"will.i.am Featuring Miley Cyrus, French Montana, Wiz Khalifa ",,,,,,,,,,,,2014-04-30,,,,,Feelin' Myself,,
 DJ Mustard,,,,,,,,,,,,2014-04-30,,,,,Feelin' Myself,,
Sara Evans,,,,,,,,,,,,2014-04-30,,,,,Slow Me Down,,
Imagine Dragons,,,,,,,,,,,,2014-05-07,,,,,Radioactive,,
Avril Lavigne,,,,,,,,,,,,2014-05-07,,,,,Hello Kitty,,
B.o.B Featuring Priscilla,,,,,,,,,,,,2014-05-07,,,,,John Doe,,
"Kristen Bell, Agatha Lee Monn ",,,,,,,,,,,,2014-05-07,,,,,Do You Want To Build A Snowman?,,
 Katie Lopez,,,,,,,,,,,,2014-05-07,,,,,Do You Want To Build A Snowman?,,
Randy Houser,,,,,,,,,,,,2014-05-07,,,,,Goodnight Kiss,,
Dierks Bentley,,,,,,,,,,,,2014-05-07,,,,,I Hold On,,
Beyonce Featuring Jay Z,,,,,,,,,,,,2014-05-14,,,,,Drunk In Love,,
Christina Grimmie,,,,,,,,,,,,2014-05-14,,,,,"Hold On, We're Going Home",,
Brantley Gilbert,,,,,,,,,,,,2014-05-14,,,,,My Baby's Guns N' Roses,,
Dan + Shay,,,,,,,,,,,,2014-05-14,,,,,19 You + Me,,
Kristen Bell ,,,,,,,,,,,,2014-05-14,,,,,For The First Time In Forever,,
 Idina Menzel,,,,,,,,,,,,2014-05-14,,,,,For The First Time In Forever,,
Katy Tiz,18861.0,,0.46,2E19mfEFhCr6UgZUYJGOEW,159.62667,0.48177,0.0,0.542,-2.959,0.0,0.507,2014-05-14,153.37361,96.003,4.0,1.0,The Big Bang,1XTbAGjlbdQ74ADCA7sE02,40.0
Aloe Blacc,497766.0,r&b,0.69,0id62QV2SZZfvBn9xpmuCl,254.88,0.34263,11.0,0.444,-7.256,0.0,0.486,2014-05-21,244.76735,81.853,4.0,0.98,The Man,2stPxcgjdSImK7Gizl8ZUN,60.0
Ellie Goulding,5587581.0,"dance pop,edm,electropop,metropopolis,pop,post-teen pop,r&b,tropical house",0.83,0X2BH1fck6amBIoJhDVmmJ,231.21152,0.0,1.0,0.117,-5.031,1.0,0.311,2014-05-21,227.24209,87.016,4.0,0.932,Burn,0xMd5bcWTbyXS7wPrBtZA6,65.0
Avicii,11089590.0,"big room,edm,pop",0.85,1vCWHaC5f2uS3yhpwWbIA6,255.09333,0.19288,7.0,0.667,-4.829,0.0,0.763,2014-05-21,246.32889,124.943,4.0,0.982,Hey Brother,4RXpgGM7A4Hg7cFBoH5KyF,76.0
Demi Lovato,11734760.0,"dance pop,pop,post-teen pop",0.87,6S2OmqARrzebs0tKUEyXyp,233.17333,0.19737,9.0,0.0,-4.24,1.0,0.075,2014-05-21,227.64844,125.928,4.0,1.0,Neon Lights,34MJ07N9Bhu6iKPaxSVnCT,61.0
Josh Kaufman,4316.0,deep talent show,0.25,1rVN2nOV74weTglog9V0gk,186.36889,0.70222,5.0,0.408,-7.253,0.0,0.559,2014-05-21,181.33624,131.919,4.0,0.869,I Can't Make You Love Me,0QDfwssgneF3kVgBo13lRr,25.0
Hunter Hayes,783218.0,"canadian contemporary country,contemporary country,country,country road,modern country rock,neo mellow,pop,post-teen pop",0.69,7H6dkUChT5EoOQtUVMg4cN,276.4,0.3424,1.0,0.526,-5.713,1.0,0.642,2014-05-21,265.09642,155.956,4.0,1.0,Invisible,2B5ey0F0QtFKNIR48vfvNJ,51.0
Christina Grimmie,280317.0,"channel pop,post-teen pop,viral pop",0.56,0Cav8jyZKAHMFbAusOmjku,171.81927,0.81215,10.0,0.793,-5.144,1.0,0.677,2014-05-21,164.91973,140.082,4.0,0.851,How To Love,6xVIlqDFInhEEgBDV02kp3,34.0
Brantley Gilbert,1351340.0,"contemporary country,country,country road,modern country rock,redneck",0.69,5q8HGNo0BjLWaTAhRtbwxa,239.77279,0.19116,1.0,0.538,-4.911,1.0,0.678,2014-05-21,227.43365,173.945,4.0,1.0,17 Again,7qgsIONiXn49hfU4OfgBSJ,41.0
The Chainsmokers,9799258.0,"edm,electropop,pop,tropical house",0.89,69GGBxA162lTqCwzJG5jLp,183.74998,0.0,0.0,0.467,-3.282,1.0,0.459,2014-05-21,179.3161,127.973,4.0,0.919,#SELFIE,1HOlb9rdNOmy9b1Fakicjo,63.0
ScHoolboy Q,2153525.0,"gangster rap,hip hop,pop rap,rap,southern hip hop,trap music,underground hip hop",0.78,5IcR3N7QB1j6KBL8eImZ8m,216.01333,0.07592,3.0,0.295,-5.228,1.0,0.341,2014-05-21,212.89796,111.914,4.0,1.0,Man Of The Year,5SsR3wtCOafDmZgvIdRhSm,70.0
