artist,track,mean_rank,occurence,top10_occurence,artist_followers,artist_genre,artist_hot,artist_id,duration,end_fade,key,key_con,loud,mode,mode_con,publish_date,start_fade,temp,time_sig,time_sig_con,track_id,track_pop
Drake,Diplomatic Immunity,48.333333333333336,3,1,,,,,,,,,,,,2018-02-14,,,,,,
Drake,Elevate,41.666666666666664,3,0,,,,,,,,,,,,2018-07-25,,,,,,
Drake,Emotionless,50.75,4,1,29659677.0,"canadian hip hop,canadian pop,hip hop,pop rap,rap",1.0,3TVXtAsR1Inumwj472S9r4,302.17333,0.20317,1.0,0.0,-5.12,1.0,0.319,2018-08-01,288.35701,172.501,4.0,0.99,5Psnhdkyanjpgc2P8A5TSM,74.0
Drake,Final Fantasy,56.0,1,0,,,,,,,,,,,,2018-07-11,,,,,,
Drake,Finesse,60.0,2,0,,,,,,,,,,,,2018-07-18,,,,,,
Drake,God's Plan,10.25,36,25,,,,,,,,,,,,2018-10-03,,,,,,
Drake,Gyalchester,98.0,1,0,,,,3TVXtAsR1Inumwj472S9r4,189.22952,0.0,1.0,0.327,-8.343,1.0,0.221,2017-06-28,178.90395,131.012,4.0,0.995,6UjfByV1lDLW0SOVQA4NAi,71.0
Drake,I'm Upset,45.5,16,1,,,,,,,,,,,,2018-09-19,,,,,,
Drake,In My Feelings,8.761904761904763,21,14,29659689.0,"canadian hip hop,canadian pop,hip hop,pop rap,rap",1.0,3TVXtAsR1Inumwj472S9r4,217.92535,0.0,1.0,0.0,-5.833,1.0,0.181,2018-11-28,213.31011,91.03,4.0,1.0,2G7V7zsVDxg1yRsu7Ew9RJ,92.0
Drake,Is There More,68.0,2,0,,,,,,,,,,,,2018-07-18,,,,,,
Drake,Jaded,49.5,2,0,,,,,,,,,,,,2018-07-18,,,,,,
Drake,March 14,57.0,1,0,,,,,,,,,,,,2018-07-11,,,,,,
Drake,Mob Ties,61.125,8,0,29659678.0,"canadian hip hop,canadian pop,hip hop,pop rap,rap",1.0,3TVXtAsR1Inumwj472S9r4,205.14667,0.0,4.0,0.484,-8.393,0.0,0.359,2018-09-05,200.31855,85.987,4.0,1.0,7rC5Pl8rQSX4myONQHYPBK,81.0
Drake,Nice For What,10.0,25,16,,,,,,,,,,,,2018-10-03,,,,,,
Drake,Nonstop,21.142857142857142,21,1,29659689.0,"canadian hip hop,canadian pop,hip hop,pop rap,rap",1.0,3TVXtAsR1Inumwj472S9r4,238.61429,0.0,7.0,0.319,-8.074,1.0,0.111,2018-11-28,234.64345,154.983,4.0,0.911,0TlLq3lA83rQOYtrqBqSct,90.0
Drake,Passionfruit,62.25,8,0,29659624.0,"canadian hip hop,canadian pop,hip hop,pop rap,rap",1.0,3TVXtAsR1Inumwj472S9r4,298.94077,0.0,11.0,0.677,-11.556,1.0,0.596,2017-08-16,298.94077,111.963,4.0,0.829,5mCPDVBb16L4XQwDdbRUpz,80.0
Drake,Peak,65.5,2,0,,,,,,,,,,,,2018-07-18,,,,,,
Drake,Ratchet Happy Birthday,51.0,1,0,,,,,,,,,,,,2018-07-11,,,,,,
Drake,Sandra's Rose,45.0,2,0,,,,,,,,,,,,2018-07-18,,,,,,
Drake,Signs,76.5,6,0,29659624.0,"canadian hip hop,canadian pop,hip hop,pop rap,rap",1.0,3TVXtAsR1Inumwj472S9r4,234.37333,2.39166,0.0,0.14,-4.66,1.0,0.328,2017-08-16,213.55392,107.369,4.0,1.0,6Na5uKk5SsqZimk0hAWo8y,73.0
Drake,Summer Games,46.0,2,0,,,,,,,,,,,,2018-07-18,,,,,,
Drake,Survival,43.0,2,0,,,,,,,,,,,,2018-07-18,,,,,,
Drake,That's How You Feel,52.5,2,0,,,,,,,,,,,,2018-07-18,,,,,,
Drake Featuring JAY-Z,Talk Up,59.333333333333336,3,0,29659672.0,"canadian hip hop,canadian pop,hip hop,pop rap,rap",1.0,3TVXtAsR1Inumwj472S9r4,223.24,0.13365,11.0,0.49,-9.877,1.0,0.476,2018-07-25,218.67973,140.116,4.0,0.985,4ksuI04WMvUnJbHQjgs3L5,71.0
Drake Featuring Michael Jackson,Don't Matter To Me,36.6,5,1,29659678.0,"canadian hip hop,canadian pop,hip hop,pop rap,rap",1.0,3TVXtAsR1Inumwj472S9r4,245.78667,0.19184,10.0,0.271,-12.391,1.0,0.31,2018-08-08,241.87066,103.002,4.0,0.972,6G8kHiVZ1jW7vHMPVRNZU0,83.0
Drake Featuring Quavo & Travis Scott,Portland,76.75,4,0,,,,,,,,,,,,,,,,,,
Drake Featuring Static Major & Ty Dolla $ign,After Dark,59.666666666666664,3,0,,,,,,,,,,,,,,,,,,
Dua Lipa,IDGAF,69.08695652173913,23,0,7717489.0,"dance pop,pop,post-teen pop",0.91,6M2wZ9GZgrQXHCFfjv46we,217.94667,0.21451,7.0,0.75,-5.975,1.0,0.683,2018-06-27,211.80082,97.028,4.0,1.0,76cy1WJvNGJTj78UqeA5zr,86.0
Dua Lipa,New Rules,31.638297872340427,47,5,7717489.0,"dance pop,pop,post-teen pop",0.91,6M2wZ9GZgrQXHCFfjv46we,209.32,0.22,9.0,0.584,-6.021,0.0,0.52,2018-07-04,205.10186,116.073,4.0,1.0,2ekn2ttSfGqwhhate0LSR0,85.0
Dua Lipa & BLACKPINK,Kiss And Make Up,93.0,1,0,,,,,,,,,,,,,,,,,,
